Results from EW9505 MVmv9501
_____________________________________
Pen name           Heat Flow    Scatter
_____________________________________
  mv9501a           1.0601     18.3350      1.1200
  mv9501b           0.9237      2.6280      0.9697
  mv9501c           1.0980      2.3450      1.1563
  mv9501d           1.3851      2.5590      1.4670
  mv9501e           1.5903      2.9770      1.6633
  mv9501f           2.2722      5.9240      2.4096
  mv9501g           2.9373      7.0110      3.1165
  mv9501h           9.1349     33.3580      9.5814
  mv9501i           7.7973     20.2330      8.3144
  mv9501j           8.3921     18.4190      8.6790
  mv9501l           4.1566      7.0970      4.3344
  mv9501m           1.4277      2.7950      1.5012
  mv9501n           1.0218      2.2890      1.0582
  mv9501o           0.8929      2.3360      0.9410
  mv9501p           0.8359      1.9730      0.8824
  mv9501q           0.9438      2.2990      0.9926
  mv9501r           1.1514      2.3020      1.2138
  mv9501s           1.3231      3.1440      1.3960
  mv9501t           1.9325      5.0440      2.0413
  mv9501u           3.1537      8.7250      3.3439
  mv9501v           7.7689     18.0050      8.0397
  mv9501w          10.3942     22.3390     11.0935
